Thread ID: 213420
Total: 18.837325

 %self     total     self     wait    child    calls  name
  0.02      8.85     0.00     0.00     8.85      100  ActionController::MimeResponds::InstanceMethods#respond_to
  0.02      0.00     0.00     0.00     0.00      200  <Class::OpenSSL::HMAC>#hexdigest
  0.02      0.01     0.00     0.00     0.00      400  Enumerable#to_a
  0.02      0.00     0.00     0.00     0.00      802  Time#initialize
  0.02      0.05     0.00     0.00     0.05      200  HashWithIndifferentAccess#initialize
  0.02      0.00     0.00     0.00     0.00      802  <Class::Time>#allocate
  0.02      0.00     0.00     0.00     0.00      900  Fixnum#>
  0.02      0.06     0.00     0.00     0.05      300  ActionController::AbstractRequest#parameters
  0.02      0.00     0.00     0.00     0.00      800  NilClass#to_a
  0.02      0.00     0.00     0.00     0.00     1000  ActionController::Base#logger
  0.02      0.35     0.00     0.00     0.35      400  Kernel#send!-2
  0.02      0.00     0.00     0.00     0.00      800  Fixnum#divmod
  0.02      0.07     0.00     0.00     0.07      400  ActiveSupport::BufferedLogger#info
  0.02      0.03     0.00     0.00     0.02      100  CGI::Session::CookieStore#unmarshal
  0.02      7.93     0.00     0.00     7.93      400  ActiveRecord::Serialization::Serializer#to_s
  0.02      0.00     0.00     0.00     0.00     1000  <Module::Dependencies>#autoloaded_constants
  0.02      1.81     0.00     0.00     1.80      100  <Class::ActiveRecord::Base>#connection=
  0.02      0.01     0.00     0.00     0.00      100  <Class::ActiveRecord::Base>#add_joins!
